3971,181
1427,165
2884,823
1329,394
652,331
1867,957
5733,1942
4499,1615
1947,-
2693,695
2075,1398
1196,1179
2601,423
1021,2224
4043,0
2977,1367
1896,1417
2827,1327
2782,598
1907,1180
4228,932
2981,511
3087,448
1298,-
3129,786
2911,773
1718,308
3147,1105
2727,1334
3850,2726
1262,1160
2872,2628
3023,619
1987,625
2590,0
2300,1296
1309,762
4089,516
993,0
1693,461
2146,3640
1177,478
2698,525
979,799
915,1876
3378,1884
2555,1351
2578,363
3180,1176
1582,133
3311,2628
1578.308
1307,662
2204,2236
1239,0
2033,0
1293,0
2971,966
3185,1375
950,200
3698,0
3512,1496
2633,379
1748,0
2909,627
6269,3196
2372,1924
3511,749
2552,241
3665,1273
2348,3361
1426,0
3727,948
3495,2223
1588,2229
2426,319
2350,970
